PropertyID,PropertyName,Bedrooms,Bathrooms,Kitchen,Living Room,Total Floors,Property Type,Property Face,Year Built,Negotiable,City & Area,Pricing,Built Up Area
7113,House for Sale at Maitidevi,8,3,1,1,3.5,Residential,South-East,2048,Yes,"Kathmandu, Maitidevi",1 Crore 90 Lakh,57.6 square-feet
7104,House for Sale at Narephat,6,3,1,1,2.5,Residential,South-West,2065,Yes,"Kathmandu, Narephant",2 Crore 80 Lakh,684.5 square-feet
7103,House for Sale at Budhanilkantha,6,5,1,1,2,Residential,East,2025,Yes,"Kathmandu, Budhanilkantha",2 Crore 80 Lakh,1026.75 square-feet
