PropertyID,PropertyName,Bedrooms,Bathrooms,Kitchen,Living Room,Total Floors,Property Type,Property Face,Year Built,Negotiable,City & Area,Pricing,Built Up Area,price_rupees,is_price_per_unit,pricing_format
7021,House for Sale at Godawari,5,4,2,1,2.5,Residential,South-West,2081,Yes,"Lalitpur, Godawari",1 Crore 40 Lakh,635.56 square-feet,14000000.0,False,Crore + Lakh Format
7020,House for Sale at Pasikot,2,1,1,1,1.0,Residential,East,2082,Yes,"Kathmandu, Pasikot",3 Crore 5 Lakh,950 square-feet,30500000.0,False,Crore + Lakh Format
